CODEINTE,CODECATE,PRIMETOTALE,Cluster,CODEASSU
1001,401,91634.0,0,13567
1001,401,20129.0,2,13180
1001,401,26197.0,2,14536
1001,401,113777.0,0,10434
1001,400,5761828.0,1,9255
1001,403,62049.0,0,8911
1001,403,31148.0,2,8911
1001,403,290204.0,0,11846
1001,401,21482.0,2,10919
1001,402,165657.0,0,9583
1001,403,306072.0,0,12870
1001,401,26638.0,2,8701
1001,401,37696.0,2,13504
1001,401,27741.0,2,10579
1001,401,95015.0,0,13997
1001,401,89590.0,0,12474
1001,401,20095.0,2,14348
1001,401,42302.0,2,12194
1001,401,67334.0,0,13157
1001,401,18524.0,2,13177
1001,402,33487.0,2,11632
1001,401,118190.0,0,8205
1001,401,47345.0,2,11504
1001,405,17384.0,2,9385
1001,401,80646.0,0,12163
1001,402,155515.0,0,11846
1001,401,95426.0,0,11203
1001,403,32255.0,2,13041
1001,401,30520.0,2,10743
1001,401,89099.0,0,9069
1001,401,49934.0,2,9255
1001,401,20637.0,2,8808
1001,401,98708.0,0,10746
1001,401,153613.0,0,14697
1001,401,64142.0,0,10579
1001,401,148782.0,0,10434
1001,401,19791.0,2,9453
1001,401,103668.0,0,11451
1001,401,25756.0,2,11113
1001,401,26221.0,2,15033
1001,401,27300.0,2,13766
1001,402,134428.0,0,11451
1001,405,27399.0,2,8536
1001,401,62817.0,0,12648
1001,401,429012.0,0,11655
1001,401,83181.0,0,9346
1001,405,17768.0,2,11903
1001,401,103850.0,0,10743
1001,401,233316.0,0,14093
1001,401,20248.0,2,14409
1001,401,21276.0,2,11342
1001,401,23778.0,2,8433
1001,401,81979.0,0,10195
1001,420,127134.0,0,9722
1001,401,29089.0,2,11205
1001,401,48699.0,2,12263
1001,402,58348.0,2,11632
1001,401,50023.0,2,13753
1001,401,42979.0,2,8433
1001,401,49189.0,2,11130
1001,401,110588.0,0,9611
1001,405,27189.0,2,9346
1001,401,93394.0,0,8091
1001,401,105776.0,0,10838
1001,405,16317.0,2,12967
1001,401,116103.0,0,10211
1001,401,100578.0,0,9063
1001,400,336142.0,0,8643
1001,401,20299.0,2,9787
1001,400,184850.0,0,10851
1001,400,879307.0,1,8659
1001,401,91230.0,0,11938
1001,401,58502.0,2,8856
