CODEASSU;CODEINTE;CODECATE;PRIMENETTE;PRIMETOTALE
13567;1001;401;73003.0;91634.0
13180;1001;401;13041.0;20129.0
14536;1001;401;18129.0;26197.0
10434;1001;401;91572.0;113777.0
9255;1001;400;472607.0;5761828.0
13286;1001;401;73003.0;91634.0
8911;1001;403;48194.0;62049.0
8911;1001;403;22281.0;31148.0
11846;1001;403;239519.0;290204.0
10919;1001;401;14175.0;21482.0
10919;1001;401;14175.0;21482.0
9583;1001;402;135077.0;165657.0
12870;1001;403;252825.0;306072.0
11529;1001;401;14175.0;21482.0
8701;1001;401;18499.0;26638.0
13504;1001;401;27772.0;37696.0
10579;1001;401;19424.0;27741.0
13997;1001;401;75838.0;95015.0
12474;1001;401;71289.0;89590.0
12920;1001;401;13041.0;20129.0
14348;1001;401;13012.0;20095.0
12194;1001;401;31634.0;42302.0
13157;1001;401;52626.0;67334.0
13177;1001;401;11695.0;18524.0
11632;1001;402;24242.0;33487.0
8205;1001;401;95272.0;118190.0
11504;1001;401;35863.0;47345.0
9385;1001;405;10739.0;17384.0
12163;1001;401;63789.0;80646.0
11846;1001;402;126572.0;155515.0
11203;1001;401;76183.0;95426.0
12639;1001;401;18499.0;26638.0
8911;1001;403;22281.0;31148.0
8911;1001;403;48194.0;62049.0
13041;1001;403;23209.0;32255.0
10743;1001;401;21754.0;30520.0
9069;1001;401;70877.0;89099.0
9025;1001;401;14175.0;21482.0
10919;1001;401;14175.0;21482.0
9255;1001;401;30535.0;49934.0
15006;1001;405;10739.0;17384.0
8808;1001;401;13467.0;20637.0
10746;1001;401;78935.0;98708.0
14697;1001;401;124977.0;153613.0
9821;1001;401;18499.0;26638.0
10579;1001;401;49948.0;64142.0
10579;1001;401;49948.0;64142.0
8701;1001;401;18499.0;26638.0
10434;1001;401;120926.0;148782.0
9453;1001;401;12757.0;19791.0
15065;1001;401;13467.0;20637.0
11451;1001;401;83094.0;103668.0
11113;1001;401;17759.0;25756.0
12661;1001;401;14175.0;21482.0
15033;1001;401;18149.0;26221.0
13766;1001;401;19054.0;27300.0
11451;1001;402;108889.0;134428.0
15103;1001;401;13041.0;20129.0
12523;1001;401;63789.0;80646.0
8536;1001;405;19137.0;27399.0
12648;1001;401;48838.0;62817.0
11655;1001;401;355918.0;429012.0
10202;1001;401;13467.0;20637.0
9025;1001;401;14175.0;21482.0
10898;1001;401;63789.0;80646.0
9346;1001;401;65915.0;83181.0
11903;1001;405;11061.0;17768.0
10919;1001;401;14175.0;21482.0
10743;1001;401;83247.0;103850.0
14093;1001;401;191814.0;233316.0
14409;1001;401;13140.0;20248.0
8808;1001;401;13041.0;20129.0
14377;1001;401;71289.0;89590.0
13191;1001;401;63789.0;80646.0
9821;1001;401;18499.0;26638.0
13824;1001;401;13140.0;20248.0
11342;1001;401;14002.0;21276.0
15132;1001;401;13041.0;20129.0
8433;1001;401;16100.0;23778.0
10195;1001;401;64906.0;81979.0
9722;1001;420;102772.0;127134.0
11205;1001;401;20554.0;29089.0
13766;1001;401;19054.0;27300.0
9069;1001;401;-52624.0;-62754.0
10909;1001;405;10739.0;17384.0
12263;1001;401;36999.0;48699.0
11632;1001;402;45090.0;58348.0
12661;1001;401;14175.0;21482.0
13753;1001;401;38109.0;50023.0
8193;1001;401;16100.0;23778.0
14795;1001;401;20554.0;29089.0
11759;1001;401;16100.0;23778.0
8433;1001;401;32201.0;42979.0
8115;1001;401;14175.0;21482.0
11130;1001;401;37409.0;49189.0
14269;1001;401;63789.0;80646.0
9611;1001;401;88897.0;110588.0
14382;1001;401;14175.0;21482.0
14346;1001;405;10739.0;17384.0
8755;1001;402;24242.0;33487.0
9346;1001;405;18961.0;27189.0
15146;1001;401;12757.0;19791.0
8091;1001;401;74479.0;93394.0
10579;1001;401;49948.0;64142.0
10838;1001;401;84862.0;105776.0
8115;1001;401;14175.0;21482.0
11948;1001;401;14175.0;21482.0
9178;1001;405;10739.0;17384.0
12967;1001;405;9844.0;16317.0
8091;1001;401;1.0;1.0
11632;1001;402;45090.0;58348.0
11690;1001;401;12757.0;19791.0
13895;1001;401;14175.0;21482.0
14998;1001;401;14175.0;21482.0
10211;1001;401;93522.0;116103.0
9063;1001;401;80503.0;100578.0
8643;1001;400;66632.0;336142.0
12928;1001;405;10739.0;17384.0
